survey,HJD,mag,mag_err,flux,flux_err,camera
 KELT,2455201.709961,14.141171,0.008020000000000001,0.963615,0.00709,W
 KELT,2455201.721191,14.11408,0.00804,0.987961,0.007287,W
 KELT,2455201.772461,14.140981,0.0088,0.963784,0.007781,W
 KELT,2455202.570801,14.1273,0.0082,0.965419,0.007263,E
 KELT,2455202.575684,14.10096,0.00755,0.989127,0.006851,E
 KELT,2455202.580566,14.09296,0.00732,0.996442,0.006692,E
 KELT,2455202.585449,14.0709,0.00732,1.016895,0.006829,E
 KELT,2455202.590332,14.07807,0.0074,1.010201,0.006858,E
 KELT,2455202.598633,14.105789999999999,0.007509999999999999,0.984736,0.006785,E
 KELT,2455202.606934,14.10299,0.00755,0.987279,0.006838,E
 KELT,2455202.618164,14.09099,0.00733,0.998252,0.006713,E
 KELT,2455202.631348,14.09467,0.007390000000000001,0.994874,0.006745,E
 KELT,2455202.642578,14.096160000000001,0.0074,0.993509,0.006745,E
 KELT,2455202.653809,14.1149,0.007520000000000001,0.976508,0.006737,E
 KELT,2455202.665039,14.11805,0.00746,0.973679,0.006664,E
 KELT,2455202.697266,14.0957,0.007790000000000001,1.004829,0.007181,W
 KELT,2455202.708008,14.097891,0.00771,1.002803,0.007093,W
 KELT,2455202.719238,14.088191,0.0079,1.011802,0.007333,W
 KELT,2455202.730469,14.115720999999999,0.00775,0.986469,0.007014,W
 KELT,2455202.741211,14.102329999999998,0.00707,0.998711,0.006478,W
 KELT,2455202.75,14.099170999999998,0.007890000000000001,1.001621,0.00725,W
 KELT,2455202.756348,14.094029999999998,0.0077599999999999995,1.006375,0.007165,W
 KELT,2455202.762207,14.076310000000001,0.008,1.022935,0.007508,W
 KELT,2455202.768066,14.117551,0.00799,0.984808,0.007219,W
 KELT,2455202.773926,14.102610999999998,0.007940000000000001,0.998453,0.007273,W
 KELT,2455202.785156,14.07709,0.00847,1.0222,0.007943,W
 KELT,2455202.795898,14.109751000000001,0.0088,0.991908,0.008008,W
 KELT,2455202.806641,14.08446,0.0088,1.015285,0.008197,W
 KELT,2455202.817383,14.088731,0.00889,1.011299,0.008248,W
 KELT,2455203.724609,14.11176,0.008,0.990075,0.007267,W
 KELT,2455203.735352,14.095631,0.00825,1.004892,0.007606,W
 KELT,2455203.745605,14.075681,0.00795,1.023528,0.007465,W
 KELT,2455203.753906,14.107470999999999,0.00777,0.993994,0.007086,W
 KELT,2455203.759766,14.076231,0.007940000000000001,1.023009,0.007452,W
 KELT,2455203.765625,14.115231,0.00788,0.986915,0.007135,W
 KELT,2455203.770996,14.103620999999999,0.00788,0.997525,0.007211,W
 KELT,2455203.781738,14.07254,0.00817,1.026493,0.007694,W
 KELT,2455203.791992,14.109321,0.00828,0.992301,0.007538,W
 KELT,2455203.802734,14.113331,0.00834,0.988643,0.007564,W
 KELT,2455203.812988,14.099870999999998,0.00863,1.000976,0.007925,W
 KELT,2455203.82373,14.113931,0.00827,0.988097,0.007497,W
 KELT,2455204.571289,14.13845,0.00957,0.955556,0.00839,E
 KELT,2455204.590332,14.144589999999999,0.00746,0.950167,0.006503,E
 KELT,2455204.594727,14.131920000000001,0.00909,0.96132,0.008017,E
 KELT,2455204.602539,14.122279999999998,0.00792,0.969893,0.007047,E
 KELT,2455204.625977,14.13248,0.00784,0.960824,0.006911,E
 KELT,2455204.63623,14.14301,0.00777,0.951551,0.006783,E
 KELT,2455204.646973,14.118739999999999,0.00755,0.973061,0.00674,E
