HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458444.61385,2018-11-22.1093282,bE,1.61,15.854,>15.854,99.990,1.613,0.331,g
2458444.61513,2018-11-22.1106011,bE,1.58,15.865,15.135,0.112,3.207,0.328,g
2458444.61642,2018-11-22.1118878,bE,1.56,15.750,15.367,0.154,2.590,0.364,g
2458446.01249,2018-11-23.5079145,ba,1.98,15.209,14.622,0.128,5.433,0.634,V
2458446.01376,2018-11-23.5091870,ba,2.00,15.213,14.765,0.145,4.764,0.631,V
2458446.01504,2018-11-23.5104634,ba,1.59,15.154,14.743,0.150,4.862,0.666,V
2458448.97508,2018-11-26.4704175,ba,1.58,15.929,14.820,0.079,4.526,0.326,V
2458448.97635,2018-11-26.4716842,ba,1.62,15.835,14.540,0.067,5.858,0.356,V
2458448.97762,2018-11-26.4729585,ba,1.62,15.834,14.765,0.082,4.764,0.356,V
2458449.73754,2018-11-27.2328508,bi,1.42,16.553,15.468,0.081,2.360,0.174,g
2458449.73875,2018-11-27.2340607,bi,1.46,16.519,15.357,0.075,2.613,0.179,g
2458449.73996,2018-11-27.2352780,bi,1.48,16.594,15.274,0.065,2.821,0.168,g
2458450.41468,2018-11-27.9099792,bm,1.62,16.983,15.440,0.053,2.420,0.117,g
2458450.41592,2018-11-27.9112148,bm,1.56,99.990,99.990,99.990,99.990,99.990,g
2458450.41712,2018-11-27.9124268,bm,1.55,99.990,99.990,99.990,99.990,99.990,g
2458450.66152,2018-11-28.1568136,bi,1.39,17.024,15.425,0.050,2.455,0.113,g
2458450.66274,2018-11-28.1580327,bi,1.42,17.146,15.390,0.043,2.535,0.101,g
2458450.66396,2018-11-28.1592527,bi,1.42,17.058,15.508,0.052,2.274,0.110,g
2458451.00596,2018-11-28.5012434,ba,1.60,16.302,14.797,0.055,4.627,0.232,V
2458451.00722,2018-11-28.5025084,ba,1.65,16.390,14.763,0.049,4.769,0.214,V
2458451.00849,2018-11-28.5037733,ba,1.63,16.280,14.761,0.054,4.779,0.237,V
2458451.78919,2018-11-29.2844530,bq,1.53,16.827,15.309,0.054,2.733,0.135,g
2458451.79041,2018-11-29.2856699,bq,1.53,16.746,15.352,0.061,2.626,0.146,g
2458451.79162,2018-11-29.2868846,bq,1.54,16.812,15.313,0.055,2.722,0.137,g
2458452.46068,2018-11-29.9559269,bm,1.62,99.990,99.990,99.990,99.990,99.990,g
2458452.46190,2018-11-29.9571465,bm,1.67,99.990,99.990,99.990,99.990,99.990,g
2458452.46311,2018-11-29.9583633,bm,1.62,99.990,99.990,99.990,99.990,99.990,g
2458452.68217,2018-11-30.1774103,bi,1.46,17.095,15.314,0.042,2.718,0.106,g
2458452.68338,2018-11-30.1786267,bi,1.41,17.035,15.286,0.044,2.790,0.112,g
2458452.68460,2018-11-30.1798467,bi,1.40,17.075,15.337,0.044,2.663,0.108,g
2458453.74928,2018-12-01.2445057,bi,1.64,17.075,15.286,0.042,2.791,0.108,g
2458453.75050,2018-12-01.2457215,bi,1.54,17.116,15.353,0.043,2.622,0.104,g
2458453.75172,2018-12-01.2469430,bi,1.54,17.123,15.369,0.043,2.585,0.103,g
2458454.57553,2018-12-02.0707342,bi,1.45,17.006,15.273,0.044,2.824,0.115,g
2458454.57675,2018-12-02.0719583,bi,1.47,16.923,15.340,0.051,2.653,0.124,g
2458454.57798,2018-12-02.0731863,bi,1.46,16.976,15.349,0.049,2.633,0.118,g
2458454.76925,2018-12-02.2644420,bi,1.43,17.054,15.406,0.048,2.498,0.110,g
2458454.77046,2018-12-02.2656598,bi,1.43,17.033,15.321,0.045,2.700,0.112,g
2458454.77168,2018-12-02.2668789,bi,1.44,17.084,15.344,0.044,2.644,0.107,g
2458455.49085,2018-12-02.9860344,bm,1.56,17.079,15.284,0.042,2.796,0.107,g
2458455.49207,2018-12-02.9872538,bm,1.48,17.116,15.381,0.044,2.556,0.104,g
2458455.49329,2018-12-02.9884721,bm,1.49,17.162,15.246,0.037,2.896,0.100,g
2458455.57276,2018-12-03.0679412,bi,1.41,16.897,15.266,0.049,2.842,0.127,g
2458455.57519,2018-12-03.0703789,bi,1.40,16.983,15.347,0.048,2.636,0.117,g
2458455.83531,2018-12-03.3305001,bq,1.47,16.880,15.417,0.057,2.474,0.129,g
2458455.83654,2018-12-03.3317192,bq,1.51,16.824,15.341,0.056,2.651,0.135,g
2458455.83776,2018-12-03.3329387,bq,1.52,16.827,15.440,0.061,2.421,0.135,g
2458456.89213,2018-12-04.3872989,bq,1.47,17.057,15.357,0.046,2.614,0.109,g
2458456.89336,2018-12-04.3885278,bq,1.53,17.143,15.504,0.048,2.282,0.101,g
2458456.89459,2018-12-04.3897569,bq,1.54,17.155,15.393,0.043,2.529,0.100,g
2458457.50734,2018-12-05.0024840,bm,1.54,17.148,15.313,0.040,2.723,0.101,g
2458457.50854,2018-12-05.0036896,bm,1.52,17.159,15.288,0.039,2.786,0.100,g
2458457.50976,2018-12-05.0049045,bm,1.47,17.121,15.340,0.042,2.654,0.103,g
2458457.86608,2018-12-05.3612304,bq,1.47,16.862,15.294,0.052,2.770,0.131,g
2458457.86729,2018-12-05.3624486,bq,1.45,16.911,15.291,0.049,2.778,0.125,g
2458457.86851,2018-12-05.3636659,bq,1.47,16.539,15.369,0.074,2.585,0.176,g
2458458.57537,2018-12-06.0705038,bm,1.49,99.990,99.990,99.990,99.990,99.990,g
2458458.57656,2018-12-06.0717067,bm,1.50,17.098,15.285,0.041,2.793,0.106,g
2458458.57777,2018-12-06.0729134,bm,1.50,99.990,99.990,99.990,99.990,99.990,g
2458458.87157,2018-12-06.3667075,bA,1.73,17.147,15.305,0.040,2.743,0.101,g
2458458.87285,2018-12-06.3679804,bA,1.73,17.287,15.403,0.039,2.506,0.089,g
2458458.87413,2018-12-06.3692636,bA,1.73,17.255,15.346,0.038,2.641,0.091,g
2458460.55816,2018-12-08.0532655,bE,1.52,17.043,15.408,0.048,2.493,0.111,g
2458460.55942,2018-12-08.0545353,bE,1.54,16.979,15.479,0.055,2.336,0.118,g
2458460.56070,2018-12-08.0558074,bE,1.53,16.939,15.539,0.060,2.210,0.122,g
2458461.55374,2018-12-09.0488476,bi,1.39,16.954,15.412,0.053,2.484,0.121,g
2458461.55496,2018-12-09.0500578,bi,1.41,17.015,15.589,0.059,2.111,0.114,g
2458461.55617,2018-12-09.0512818,bi,1.37,16.986,15.687,0.066,1.929,0.117,g
2458461.78765,2018-12-09.2827494,bE,1.53,17.135,15.224,0.038,2.954,0.102,g
2458461.78893,2018-12-09.2840283,bE,1.50,17.183,15.301,0.039,2.752,0.098,g
2458462.55176,2018-12-10.0468540,bE,1.57,16.868,15.332,0.053,2.674,0.130,g
2458462.55304,2018-12-10.0481275,bE,1.52,16.997,15.309,0.046,2.731,0.116,g
2458462.55430,2018-12-10.0493912,bE,1.54,16.974,15.288,0.046,2.784,0.118,g
2458462.74533,2018-12-10.2404246,bE,1.52,17.055,15.306,0.044,2.738,0.110,g
2458462.74661,2018-12-10.2417039,bE,1.56,17.109,15.278,0.040,2.811,0.105,g
2458463.56249,2018-12-11.0575700,bi,1.39,17.013,15.281,0.044,2.801,0.114,g
2458463.56371,2018-12-11.0587938,bi,1.45,16.950,15.360,0.051,2.607,0.121,g
2458463.56492,2018-12-11.0600101,bi,1.43,16.932,15.277,0.048,2.814,0.123,g
2458463.76683,2018-12-11.2619155,bi,1.44,17.061,15.255,0.041,2.870,0.109,g
2458463.76804,2018-12-11.2631253,bi,1.35,17.049,15.343,0.045,2.647,0.110,g
2458463.76926,2018-12-11.2643402,bi,1.39,17.114,15.335,0.042,2.667,0.104,g
2458464.29643,2018-12-11.7915031,bm,2.08,16.699,15.369,0.064,2.584,0.152,g
2458464.52241,2018-12-12.0174865,bm,1.53,17.052,15.322,0.044,2.701,0.110,g
2458464.52399,2018-12-12.0190626,bm,1.61,16.955,15.266,0.046,2.841,0.120,g
2458464.52525,2018-12-12.0203243,bm,1.61,17.033,15.355,0.047,2.619,0.112,g
2458464.56069,2018-12-12.0557709,bE,1.47,16.954,15.291,0.047,2.777,0.121,g
2458464.56197,2018-12-12.0570454,bE,1.50,16.941,15.312,0.049,2.723,0.122,g
2458464.56325,2018-12-12.0583309,bE,1.50,17.094,15.312,0.042,2.724,0.106,g
2458465.30281,2018-12-12.7978770,bm,1.65,16.866,15.413,0.057,2.481,0.131,g
2458465.30402,2018-12-12.7990931,bm,1.65,16.855,15.255,0.050,2.869,0.132,g
2458465.30523,2018-12-12.8003032,bm,1.67,99.990,99.990,99.990,99.990,99.990,g
2458465.51648,2018-12-13.0115501,bm,1.54,17.111,15.343,0.043,2.648,0.104,g
2458465.51770,2018-12-13.0127672,bm,1.44,17.120,15.379,0.044,2.562,0.103,g
2458465.56116,2018-12-13.0562304,bE,1.54,17.022,15.348,0.047,2.634,0.113,g
2458465.56242,2018-12-13.0574950,bE,1.52,16.872,15.316,0.052,2.714,0.130,g
2458466.29340,2018-12-13.7884756,bm,2.04,16.699,15.308,0.061,2.734,0.153,g
2458466.29462,2018-12-13.7896949,bm,2.02,16.609,15.234,0.062,2.926,0.166,g
2458466.49510,2018-12-13.9901694,bm,1.63,17.128,15.384,0.044,2.551,0.103,g
2458466.49631,2018-12-13.9913843,bm,1.58,17.150,15.340,0.041,2.656,0.101,g
2458466.49752,2018-12-13.9925975,bm,1.59,17.198,15.431,0.043,2.442,0.096,g
2458466.55749,2018-12-14.0525631,bE,1.43,16.855,15.326,0.054,2.689,0.132,g
2458466.55876,2018-12-14.0538363,bE,1.49,16.963,15.288,0.047,2.785,0.119,g
2458466.56003,2018-12-14.0551045,bE,1.44,16.962,15.428,0.053,2.448,0.120,g
2458467.54198,2018-12-15.0370620,bm,1.58,17.114,15.918,0.073,1.558,0.104,g
2458467.54319,2018-12-15.0382663,bm,1.59,17.044,15.941,0.079,1.526,0.111,g
2458467.54440,2018-12-15.0394741,bm,1.51,17.133,15.775,0.063,1.778,0.102,g
2458468.42022,2018-12-15.9152912,bm,1.62,16.948,15.336,0.050,2.664,0.121,g
2458468.42148,2018-12-15.9165552,bm,1.56,16.911,15.334,0.051,2.671,0.125,g
2458468.42278,2018-12-15.9178444,bm,1.67,16.835,15.274,0.052,2.822,0.134,g
2458469.60597,2018-12-17.1010469,bi,1.36,16.804,15.365,0.058,2.593,0.138,g
2458469.60720,2018-12-17.1022718,bi,1.41,16.802,15.331,0.056,2.676,0.139,g
2458469.60841,2018-12-17.1034896,bi,1.37,16.708,15.304,0.060,2.744,0.151,g
2458470.51210,2018-12-18.0071748,bm,1.66,99.990,99.990,99.990,99.990,99.990,g
2458470.51355,2018-12-18.0086219,bm,1.61,14.162,>14.162,99.990,5.844,1.578,g
2458470.51505,2018-12-18.0101243,bm,1.49,14.907,>14.907,99.990,1.988,0.792,g
2458470.54707,2018-12-18.0421537,bi,1.38,99.990,99.990,99.990,99.990,99.990,g
2458470.54950,2018-12-18.0445815,bi,1.94,99.990,99.990,99.990,99.990,99.990,g
2458471.57546,2018-12-19.0705381,bE,1.51,16.327,15.347,0.089,2.636,0.214,g
2458471.57674,2018-12-19.0718225,bE,1.52,16.345,15.346,0.087,2.639,0.211,g
2458471.57802,2018-12-19.0731033,bE,1.52,16.323,15.471,0.100,2.353,0.215,g
2458471.81905,2018-12-19.3141337,bE,1.50,17.044,15.299,0.044,2.757,0.111,g
2458471.82033,2018-12-19.3154108,bE,1.50,17.121,15.440,0.046,2.421,0.103,g
2458471.82160,2018-12-19.3166778,bE,1.51,17.059,15.335,0.045,2.666,0.110,g
2458472.50525,2018-12-20.0003400,bm,1.56,16.226,15.353,0.098,2.624,0.235,g
2458472.50648,2018-12-20.0015619,bm,1.56,16.269,15.443,0.102,2.415,0.226,g
2458472.50768,2018-12-20.0027652,bm,1.57,16.349,15.285,0.082,2.792,0.210,g
2458472.77877,2018-12-20.2738604,bq,1.53,16.188,15.594,0.127,2.102,0.243,g
2458472.78000,2018-12-20.2750975,bq,1.54,16.312,15.560,0.110,2.168,0.217,g
2458472.78122,2018-12-20.2763087,bq,1.55,16.235,15.515,0.113,2.260,0.233,g
2458473.45155,2018-12-20.9466495,bm,1.55,16.008,15.251,0.109,2.880,0.287,g
2458473.45276,2018-12-20.9478561,bm,1.51,16.146,15.404,0.111,2.501,0.253,g
2458473.66914,2018-12-21.1642359,bE,1.53,16.004,15.309,0.116,2.732,0.288,g
2458473.67040,2018-12-21.1655046,bE,1.52,16.115,15.343,0.108,2.649,0.260,g
2458473.67167,2018-12-21.1667697,bE,1.52,16.192,15.536,0.120,2.215,0.242,g
2458475.76283,2018-12-23.2579567,bq,1.63,15.760,15.117,0.121,3.261,0.361,g
2458475.76406,2018-12-23.2591761,bq,1.73,15.911,15.492,0.149,2.308,0.314,g
2458475.76528,2018-12-23.2603921,bq,1.66,15.775,15.405,0.156,2.501,0.356,g
2458476.55313,2018-12-24.0482590,bm,2.01,15.732,15.115,0.124,3.267,0.370,g
2458476.55434,2018-12-24.0494664,bm,1.77,15.555,15.459,0.201,2.379,0.436,g
2458476.91972,2018-12-24.4148509,bA,2.20,16.162,15.689,0.142,1.925,0.249,g
2458476.92099,2018-12-24.4161262,bA,2.15,16.055,15.623,0.147,2.046,0.275,g
2458476.92227,2018-12-24.4174001,bA,2.25,16.131,15.949,0.185,1.516,0.256,g
2458477.53717,2018-12-25.0323076,bm,1.60,16.165,15.098,0.082,3.316,0.249,g
2458477.53837,2018-12-25.0335164,bm,1.62,16.170,15.308,0.099,2.735,0.247,g
2458477.53960,2018-12-25.0347452,bm,1.61,16.061,15.475,0.128,2.345,0.273,g
2458480.61361,2018-12-28.1088017,bi,1.55,17.010,15.292,0.045,2.774,0.115,g
2458480.61483,2018-12-28.1100223,bi,1.55,17.095,15.371,0.045,2.581,0.106,g
2458480.61605,2018-12-28.1112414,bi,1.54,17.058,15.316,0.044,2.714,0.110,g
2458481.33395,2018-12-28.8291589,bm,1.72,17.038,15.376,0.047,2.569,0.112,g
2458481.33515,2018-12-28.8303607,bm,1.65,99.990,99.990,99.990,99.990,99.990,g
2458481.33636,2018-12-28.8315660,bm,1.65,99.990,99.990,99.990,99.990,99.990,g
2458482.62855,2018-12-30.1237875,bi,1.42,17.163,15.472,0.046,2.351,0.099,g
2458482.62976,2018-12-30.1250086,bi,1.44,17.013,15.456,0.052,2.386,0.114,g
2458482.63099,2018-12-30.1262266,bi,1.45,17.163,15.501,0.047,2.290,0.099,g
2458483.72127,2018-12-31.2165284,bi,1.39,17.016,15.293,0.045,2.772,0.114,g
2458483.72249,2018-12-31.2177443,bi,1.39,17.083,15.315,0.043,2.717,0.107,g
2458483.72369,2018-12-31.2189576,bi,1.39,17.029,15.415,0.049,2.478,0.112,g
2458484.41585,2018-12-31.9111261,bm,1.53,17.020,15.449,0.051,2.402,0.113,g
2458484.41706,2018-12-31.9123364,bm,1.52,17.075,15.373,0.046,2.576,0.108,g
2458484.41826,2018-12-31.9135401,bm,1.53,17.158,15.462,0.046,2.373,0.100,g
2458484.83508,2019-01-01.3303773,bq,1.57,17.100,15.456,0.048,2.387,0.105,g
2458484.83630,2019-01-01.3315907,bq,1.57,17.001,15.346,0.048,2.640,0.115,g
2458484.83752,2019-01-01.3328077,bq,1.53,17.017,15.234,0.042,2.927,0.114,g
2458485.91793,2019-01-02.4132513,bA,2.10,17.260,15.421,0.040,2.464,0.091,g
2458485.91921,2019-01-02.4145314,bA,2.10,17.169,15.345,0.041,2.643,0.099,g
2458485.92048,2019-01-02.4157938,bA,2.07,17.219,15.403,0.041,2.506,0.095,g
2458486.64402,2019-01-03.1393628,bi,1.37,16.853,15.352,0.056,2.624,0.134,g
2458486.64523,2019-01-03.1405796,bi,1.40,16.727,15.402,0.065,2.507,0.148,g
2458486.64645,2019-01-03.1417974,bi,1.38,16.706,15.377,0.065,2.566,0.152,g
2458487.49899,2019-01-03.9943538,bm,1.47,99.990,99.990,99.990,99.990,99.990,g
2458488.95524,2019-01-05.4506517,bA,2.15,17.067,15.337,0.044,2.661,0.109,g
2458488.95652,2019-01-05.4519275,bA,2.15,17.148,15.342,0.041,2.649,0.101,g
2458488.95778,2019-01-05.4531900,bA,2.22,17.132,15.409,0.045,2.491,0.102,g
2458489.93315,2019-01-06.4285949,bA,1.76,17.197,15.422,0.043,2.463,0.096,g
2458489.93442,2019-01-06.4298633,bA,2.02,17.157,15.299,0.039,2.756,0.100,g
2458489.93569,2019-01-06.4311284,bA,1.75,17.164,15.349,0.041,2.634,0.099,g
2458490.92919,2019-01-07.4246694,bA,2.10,17.143,15.283,0.039,2.797,0.102,g
2458490.93045,2019-01-07.4259247,bA,2.10,17.230,15.369,0.039,2.583,0.094,g
2458490.93170,2019-01-07.4271864,bA,2.11,17.124,15.253,0.039,2.879,0.104,g
2458491.69293,2019-01-08.1884378,bi,1.39,16.948,15.304,0.048,2.743,0.121,g
2458491.69415,2019-01-08.1896523,bi,1.38,16.906,15.321,0.051,2.704,0.126,g
2458491.69537,2019-01-08.1908709,bi,1.37,17.000,15.408,0.050,2.494,0.116,g
2458492.44454,2019-01-08.9400702,bm,1.56,17.095,15.380,0.045,2.559,0.106,g
2458492.44575,2019-01-08.9412766,bm,1.55,17.016,15.371,0.048,2.581,0.114,g
2458492.44696,2019-01-08.9424815,bm,1.50,16.961,15.361,0.050,2.605,0.120,g
2458492.91245,2019-01-09.4080038,bA,1.73,17.331,15.517,0.041,2.256,0.085,g
2458492.91373,2019-01-09.4092746,bA,1.70,17.356,15.416,0.037,2.476,0.083,g
2458492.91499,2019-01-09.4105398,bA,1.72,17.281,15.370,0.038,2.584,0.089,g
2458494.66872,2019-01-11.1643350,bi,1.42,17.020,15.372,0.048,2.577,0.113,g
2458494.66994,2019-01-11.1655530,bi,1.37,17.071,15.517,0.052,2.256,0.108,g
2458494.67116,2019-01-11.1667718,bi,1.38,17.063,15.334,0.044,2.667,0.109,g
2458495.56907,2019-01-12.0647252,bq,2.32,16.635,15.214,0.059,2.982,0.161,g
2458495.57029,2019-01-12.0659429,bq,1.66,16.822,15.299,0.054,2.758,0.136,g
2458495.57151,2019-01-12.0671596,bq,1.74,16.786,15.191,0.050,3.044,0.140,g
2458495.77527,2019-01-12.2709300,bq,1.50,17.046,15.281,0.043,2.803,0.110,g
2458495.77648,2019-01-12.2721387,bq,1.53,17.094,15.297,0.042,2.763,0.106,g
2458495.77770,2019-01-12.2733590,bq,1.51,17.046,15.279,0.043,2.807,0.111,g
2458496.56943,2019-01-13.0651230,bq,1.53,16.861,15.273,0.051,2.823,0.131,g
2458496.57065,2019-01-13.0663466,bq,1.54,16.682,15.236,0.058,2.922,0.154,g
2458496.57186,2019-01-13.0675545,bq,1.49,16.740,15.168,0.051,3.110,0.146,g
2458497.45414,2019-01-13.9498674,bm,1.51,17.140,15.327,0.041,2.686,0.102,g
2458497.45536,2019-01-13.9510847,bm,1.48,17.074,15.315,0.043,2.718,0.108,g
2458497.45656,2019-01-13.9522878,bm,1.45,17.075,15.278,0.042,2.811,0.108,g
2458497.73750,2019-01-14.2332436,bA,1.67,16.926,15.484,0.058,2.326,0.124,g
2458497.73877,2019-01-14.2345097,bA,1.71,16.752,15.284,0.057,2.794,0.145,g
2458497.74005,2019-01-14.2357856,bA,1.70,16.758,15.402,0.063,2.508,0.144,g
2458498.36813,2019-01-14.8638929,bm,1.50,16.943,15.467,0.056,2.363,0.122,g
2458498.36934,2019-01-14.8651072,bm,1.49,16.965,15.465,0.055,2.368,0.119,g
2458498.37055,2019-01-14.8663164,bm,1.53,16.800,15.531,0.068,2.226,0.139,g
2458498.72063,2019-01-15.2164098,bi,1.39,17.139,16.136,0.087,1.276,0.101,g
2458498.72184,2019-01-15.2176231,bi,1.40,17.230,16.203,0.085,1.199,0.093,g
2458498.72305,2019-01-15.2188395,bi,1.37,17.204,16.187,0.086,1.216,0.095,g
2458498.88148,2019-01-15.3772805,bA,1.70,16.798,15.617,0.074,2.055,0.139,g
2458498.88275,2019-01-15.3785511,bA,1.67,16.886,15.525,0.063,2.240,0.128,g
2458498.88403,2019-01-15.3798283,bA,1.70,16.868,15.488,0.061,2.316,0.130,g
2458499.75277,2019-01-16.2485951,bE,1.54,16.948,15.274,0.047,2.823,0.121,g
2458499.75402,2019-01-16.2498525,bE,1.53,17.025,15.286,0.044,2.789,0.113,g
2458499.75529,2019-01-16.2511186,bE,1.55,17.102,15.208,0.038,2.997,0.105,g
2458500.82757,2019-01-17.3234530,bq,1.60,15.072,14.805,0.171,4.346,0.680,g
2458500.82878,2019-01-17.3246640,bq,2.10,15.231,15.114,0.197,3.270,0.587,g
2458505.45916,2019-01-21.9552775,bm,1.58,16.008,15.300,0.114,2.754,0.287,g
2458505.46039,2019-01-21.9565056,bm,1.60,15.904,15.701,0.182,1.904,0.316,g
2458505.46160,2019-01-21.9577163,bm,1.68,15.801,15.272,0.135,2.825,0.347,g
2458505.59952,2019-01-22.0956429,bi,1.52,16.305,15.454,0.100,2.392,0.218,g
2458505.60075,2019-01-22.0968741,bi,1.41,16.275,15.529,0.110,2.231,0.225,g
2458505.60196,2019-01-22.0980912,bi,1.51,16.148,15.476,0.118,2.344,0.252,g
2458506.36673,2019-01-22.8629075,bm,1.53,16.487,15.242,0.070,2.907,0.185,g
2458506.36795,2019-01-22.8641164,bm,1.49,16.545,15.419,0.078,2.468,0.175,g
2458506.36915,2019-01-22.8653206,bm,1.46,16.420,15.145,0.068,3.176,0.197,g
2458506.59517,2019-01-23.0913414,bi,1.39,16.507,15.346,0.075,2.640,0.181,g
2458506.59638,2019-01-23.0925638,bi,1.47,16.499,15.355,0.076,2.617,0.183,g
2458506.59760,2019-01-23.0937811,bi,1.41,16.559,15.366,0.073,2.592,0.173,g
2458507.59875,2019-01-24.0949821,bi,1.48,16.834,15.447,0.061,2.406,0.134,g
2458507.59997,2019-01-24.0962012,bi,1.53,16.816,15.420,0.060,2.467,0.137,g
2458507.60118,2019-01-24.0974184,bi,1.53,16.756,15.294,0.057,2.768,0.144,g
2458507.77802,2019-01-24.2742666,bq,1.61,16.403,15.215,0.073,2.978,0.200,g
2458507.77922,2019-01-24.2754788,bq,1.54,16.427,15.325,0.079,2.691,0.195,g
2458507.78045,2019-01-24.2766969,bq,1.57,16.538,15.325,0.072,2.692,0.176,g
2458508.41393,2019-01-24.9102056,bm,1.56,16.643,15.409,0.070,2.492,0.160,g
2458508.41515,2019-01-24.9114240,bm,1.55,16.608,15.242,0.062,2.905,0.165,g
2458508.41636,2019-01-24.9126408,bm,1.54,16.721,15.281,0.058,2.801,0.149,g
2458508.88474,2019-01-25.3810480,bA,2.05,16.807,15.391,0.059,2.534,0.138,g
2458508.88601,2019-01-25.3823217,bA,2.06,16.764,15.277,0.056,2.814,0.143,g
2458508.88729,2019-01-25.3835950,bA,2.07,16.756,15.391,0.062,2.533,0.144,g
2458510.30270,2019-01-26.7990929,bm,1.66,99.990,99.990,99.990,99.990,99.990,g
2458510.30391,2019-01-26.8002973,bm,1.64,99.990,99.990,99.990,99.990,99.990,g
2458510.30511,2019-01-26.8015024,bm,1.66,17.035,15.388,0.048,2.542,0.112,g
2458512.70466,2019-01-29.2011920,bi,1.38,16.877,15.267,0.050,2.838,0.129,g
2458512.70587,2019-01-29.2024120,bi,1.43,16.924,15.436,0.055,2.431,0.124,g
2458512.70710,2019-01-29.2036394,bi,1.40,16.879,15.256,0.049,2.868,0.129,g
2458513.39434,2019-01-29.8909254,bm,1.57,17.081,15.345,0.044,2.642,0.107,g
2458513.39555,2019-01-29.8921318,bm,1.55,17.132,15.309,0.041,2.731,0.102,g
2458513.39677,2019-01-29.8933482,bm,1.51,17.012,15.339,0.047,2.659,0.114,g
2458514.69561,2019-01-31.1922680,bE,1.44,16.936,15.327,0.050,2.685,0.122,g
2458514.69687,2019-01-31.1935302,bE,1.44,16.977,15.390,0.051,2.536,0.118,g
2458515.69527,2019-02-01.1919907,bi,1.36,16.795,15.387,0.060,2.542,0.139,g
2458515.69649,2019-02-01.1932197,bi,1.41,16.911,15.252,0.047,2.877,0.126,g
2458515.69773,2019-02-01.1944557,bi,1.39,16.741,15.367,0.062,2.590,0.147,g
2458517.38770,2019-02-02.8845366,bm,1.45,16.984,15.266,0.045,2.841,0.117,g
2458517.38891,2019-02-02.8857547,bm,1.50,16.988,15.385,0.050,2.547,0.117,g
2458517.39014,2019-02-02.8869726,bm,1.51,16.984,15.291,0.046,2.778,0.117,g
2458518.68917,2019-02-04.1860949,bE,1.45,17.016,15.271,0.044,2.829,0.114,g
2458518.69043,2019-02-04.1873572,bE,1.48,17.076,15.337,0.044,2.663,0.108,g
2458518.69170,2019-02-04.1886317,bE,1.40,17.096,15.255,0.040,2.872,0.106,g
2458519.33856,2019-02-04.8355326,bm,1.53,17.101,15.356,0.044,2.616,0.105,g
2458519.33978,2019-02-04.8367497,bm,1.55,17.157,15.449,0.045,2.402,0.100,g
2458519.34099,2019-02-04.8379657,bm,1.46,17.076,15.345,0.044,2.644,0.108,g
2458519.69246,2019-02-05.1894570,bE,1.44,17.013,15.286,0.045,2.792,0.114,g
2458519.69374,2019-02-05.1907412,bE,1.47,16.953,15.259,0.046,2.863,0.121,g
2458519.69500,2019-02-05.1919998,bE,1.49,17.041,15.377,0.047,2.565,0.111,g
2458520.35578,2019-02-05.8528185,bm,1.60,17.062,15.455,0.050,2.390,0.109,g
2458520.35700,2019-02-05.8540373,bm,1.54,17.120,15.450,0.047,2.399,0.103,g
2458520.35822,2019-02-05.8552560,bm,1.57,17.043,15.500,0.053,2.292,0.111,g
2458521.33115,2019-02-06.8282606,bm,1.59,17.025,15.269,0.043,2.836,0.113,g
2458521.33244,2019-02-06.8295525,bm,1.52,17.132,15.352,0.042,2.627,0.102,g
2458521.33367,2019-02-06.8307753,bm,1.55,17.039,15.379,0.047,2.561,0.111,g
2458522.63896,2019-02-08.1361530,bi,1.39,16.949,15.397,0.052,2.519,0.121,g
2458522.64018,2019-02-08.1373722,bi,1.37,16.966,15.258,0.045,2.863,0.119,g
2458522.64139,2019-02-08.1385891,bi,1.38,17.001,15.381,0.049,2.555,0.115,g
2458523.73866,2019-02-09.2359432,bq,1.54,17.071,15.436,0.048,2.429,0.108,g
2458523.73987,2019-02-09.2371534,bq,1.47,17.041,15.421,0.049,2.464,0.111,g
2458523.74109,2019-02-09.2383695,bq,1.51,16.861,15.315,0.053,2.718,0.131,g
2458524.36276,2019-02-09.8600834,bm,1.59,99.990,99.990,99.990,99.990,99.990,g
2458524.36397,2019-02-09.8612901,bm,1.63,99.990,99.990,99.990,99.990,99.990,g
2458524.36518,2019-02-09.8625035,bm,1.64,16.977,15.454,0.054,2.389,0.118,g
2458525.65602,2019-02-11.1534384,bi,1.42,17.007,15.428,0.051,2.447,0.115,g
2458525.65722,2019-02-11.1546482,bi,1.42,16.908,15.456,0.057,2.386,0.126,g
2458525.65845,2019-02-11.1558665,bi,1.46,16.942,15.423,0.054,2.461,0.122,g
2458526.64521,2019-02-12.1427028,bE,1.52,16.970,15.393,0.051,2.530,0.119,g
2458526.64647,2019-02-12.1439681,bE,1.51,16.945,15.275,0.047,2.819,0.122,g
2458526.64776,2019-02-12.1452570,bE,1.52,16.947,15.199,0.044,3.023,0.121,g
2458527.65976,2019-02-13.1573325,bE,1.47,16.781,15.225,0.052,2.952,0.141,g
2458527.66103,2019-02-13.1585997,bE,1.50,16.788,15.245,0.053,2.899,0.140,g
2458527.66229,2019-02-13.1598638,bE,1.50,16.785,15.411,0.062,2.487,0.141,g
2458530.61084,2019-02-16.1086434,bE,1.50,16.387,15.441,0.092,2.420,0.203,g
2458530.61212,2019-02-16.1099151,bE,1.53,16.168,15.099,0.082,3.313,0.248,g
