HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457356.63294,2015-11-30.1281873,be,1.41,16.551,15.493,0.083,2.435,0.184,V
2457356.63422,2015-11-30.1294784,be,1.41,16.521,15.598,0.094,2.211,0.189,V
2457360.62654,2015-12-04.1217140,be,1.63,16.586,14.888,0.046,4.252,0.178,V
2457360.62784,2015-12-04.1230123,be,1.62,16.604,14.909,0.046,4.173,0.175,V
2457360.62913,2015-12-04.1242980,be,1.61,16.513,14.910,0.050,4.169,0.191,V
2457363.80611,2015-12-07.3012307,be,1.50,16.696,15.169,0.054,3.284,0.161,V
2457363.80740,2015-12-07.3025222,be,1.53,16.634,15.120,0.054,3.433,0.171,V
2457363.80869,2015-12-07.3038065,be,1.48,16.639,15.147,0.055,3.348,0.170,V
2457367.77048,2015-12-11.2655663,be,1.41,16.605,15.170,0.058,3.282,0.175,V
2457367.77177,2015-12-11.2668543,be,1.44,16.712,15.146,0.052,3.351,0.159,V
2457367.77306,2015-12-11.2681432,be,1.40,16.670,15.274,0.060,2.982,0.165,V
2457371.75683,2015-12-15.2519017,be,1.61,16.682,15.080,0.050,3.563,0.163,V
2457371.75812,2015-12-15.2531872,be,1.61,16.721,15.212,0.054,3.158,0.157,V
2457371.75939,2015-12-15.2544613,be,1.60,16.600,15.080,0.054,3.567,0.176,V
2457373.81135,2015-12-17.3064225,be,1.52,16.613,15.105,0.054,3.485,0.174,V
2457373.81263,2015-12-17.3077018,be,1.51,16.612,15.130,0.056,3.404,0.174,V
2457373.81392,2015-12-17.3089909,be,1.54,16.561,15.208,0.063,3.169,0.182,V
2457374.54787,2015-12-18.0429467,be,1.44,16.469,15.113,0.063,3.458,0.198,V
2457374.54917,2015-12-18.0442460,be,1.46,16.501,15.406,0.080,2.640,0.193,V
2457374.55046,2015-12-18.0455318,be,1.46,16.348,15.073,0.068,3.588,0.222,V
2457375.82385,2015-12-19.3189357,be,1.46,16.483,15.062,0.059,3.625,0.196,V
2457375.82513,2015-12-19.3202136,be,1.44,16.656,15.146,0.054,3.353,0.167,V
2457375.82640,2015-12-19.3214859,be,1.46,16.526,14.994,0.053,3.859,0.188,V
